timestamps,coin,price
2025-08-04 20-55-30,bitcoin,114888
2025-08-04 20-55-30,ethereum,3646.25
2025-08-04 20-55-30,ripple,3.04
2025-08-04 20-55-30,tether,1.0
2025-08-04 20-55-30,binancecoin,762.5
2025-08-04 20-55-30,solana,165.46
2025-08-04 20-55-30,usd-coin,0.999803
2025-08-04 20-55-30,staked-ether,3637.77
2025-08-04 20-55-30,tron,0.332391
2025-08-04 20-55-30,dogecoin,0.204158
2025-08-04 20-55-50,bitcoin,114888
2025-08-04 20-55-50,ethereum,3646.25
2025-08-04 20-55-50,ripple,3.04
2025-08-04 20-55-50,tether,1.0
2025-08-04 20-55-50,binancecoin,762.5
2025-08-04 20-55-50,solana,165.46
2025-08-04 20-55-50,usd-coin,0.999803
2025-08-04 20-55-50,staked-ether,3637.77
2025-08-04 20-55-50,tron,0.332391
2025-08-04 20-55-50,dogecoin,0.204158
2025-08-04 20-56-10,bitcoin,114888
2025-08-04 20-56-10,ethereum,3646.25
2025-08-04 20-56-10,ripple,3.04
2025-08-04 20-56-10,tether,1.0
2025-08-04 20-56-10,binancecoin,762.5
2025-08-04 20-56-10,solana,165.46
2025-08-04 20-56-10,usd-coin,0.999803
2025-08-04 20-56-10,staked-ether,3637.77
2025-08-04 20-56-10,tron,0.332391
2025-08-04 20-56-10,dogecoin,0.204158
2025-08-04 20-56-31,bitcoin,114884
2025-08-04 20-56-31,ethereum,3647.06
2025-08-04 20-56-31,ripple,3.04
2025-08-04 20-56-31,tether,1.0
2025-08-04 20-56-31,binancecoin,762.51
2025-08-04 20-56-31,solana,165.48
2025-08-04 20-56-31,usd-coin,0.999826
2025-08-04 20-56-31,staked-ether,3642.58
2025-08-04 20-56-31,tron,0.332389
2025-08-04 20-56-31,dogecoin,0.204128
2025-08-04 20-56-51,bitcoin,114884
2025-08-04 20-56-51,ethereum,3647.06
2025-08-04 20-56-51,ripple,3.04
2025-08-04 20-56-51,tether,1.0
2025-08-04 20-56-51,binancecoin,762.51
2025-08-04 20-56-51,solana,165.48
2025-08-04 20-56-51,usd-coin,0.999826
2025-08-04 20-56-51,staked-ether,3642.58
2025-08-04 20-56-51,tron,0.332389
2025-08-04 20-56-51,dogecoin,0.204128
2025-08-04 20-57-11,bitcoin,114884
2025-08-04 20-57-11,ethereum,3647.06
2025-08-04 20-57-11,ripple,3.04
2025-08-04 20-57-11,tether,1.0
2025-08-04 20-57-11,binancecoin,762.51
2025-08-04 20-57-11,solana,165.48
2025-08-04 20-57-11,usd-coin,0.999826
2025-08-04 20-57-11,staked-ether,3642.58
2025-08-04 20-57-11,tron,0.332389
2025-08-04 20-57-11,dogecoin,0.204128
2025-08-04 20-57-32,bitcoin,114884
2025-08-04 20-57-32,ethereum,3647.06
2025-08-04 20-57-32,ripple,3.04
2025-08-04 20-57-32,tether,1.0
2025-08-04 20-57-32,binancecoin,762.51
2025-08-04 20-57-32,solana,165.48
2025-08-04 20-57-32,usd-coin,0.999826
2025-08-04 20-57-32,staked-ether,3642.58
2025-08-04 20-57-32,tron,0.332389
2025-08-04 20-57-32,dogecoin,0.204128
2025-08-04 20-57-52,bitcoin,114881
2025-08-04 20-57-52,ethereum,3647.3
2025-08-04 20-57-52,ripple,3.04
2025-08-04 20-57-52,tether,1.0
2025-08-04 20-57-52,binancecoin,762.55
2025-08-04 20-57-52,solana,165.58
2025-08-04 20-57-52,usd-coin,0.999816
2025-08-04 20-57-52,staked-ether,3643.1
2025-08-04 20-57-52,tron,0.332393
2025-08-04 20-57-52,dogecoin,0.204254
2025-08-04 20-58-12,bitcoin,114881
2025-08-04 20-58-12,ethereum,3647.3
2025-08-04 20-58-12,ripple,3.04
2025-08-04 20-58-12,tether,1.0
2025-08-04 20-58-12,binancecoin,762.55
2025-08-04 20-58-12,solana,165.58
2025-08-04 20-58-12,usd-coin,0.999816
2025-08-04 20-58-12,staked-ether,3643.1
2025-08-04 20-58-12,tron,0.332393
2025-08-04 20-58-12,dogecoin,0.204254
2025-08-04 20-58-32,bitcoin,114881
2025-08-04 20-58-32,ethereum,3647.3
2025-08-04 20-58-32,ripple,3.04
2025-08-04 20-58-32,tether,1.0
2025-08-04 20-58-32,binancecoin,762.55
2025-08-04 20-58-32,solana,165.58
2025-08-04 20-58-32,usd-coin,0.999816
2025-08-04 20-58-32,staked-ether,3643.1
2025-08-04 20-58-32,tron,0.332393
2025-08-04 20-58-32,dogecoin,0.204254
2025-08-04 20-58-53,bitcoin,114863
2025-08-04 20-58-53,ethereum,3648.02
2025-08-04 20-58-53,ripple,3.04
2025-08-04 20-58-53,tether,1.0
2025-08-04 20-58-53,binancecoin,762.58
2025-08-04 20-58-53,solana,165.64
2025-08-04 20-58-53,usd-coin,0.999796
2025-08-04 20-58-53,staked-ether,3643.24
2025-08-04 20-58-53,tron,0.332417
2025-08-04 20-58-53,dogecoin,0.204265
2025-08-04 20-59-13,bitcoin,114863
2025-08-04 20-59-13,ethereum,3648.02
2025-08-04 20-59-13,ripple,3.04
2025-08-04 20-59-13,tether,1.0
2025-08-04 20-59-13,binancecoin,762.58
2025-08-04 20-59-13,solana,165.64
2025-08-04 20-59-13,usd-coin,0.999796
2025-08-04 20-59-13,staked-ether,3643.24
2025-08-04 20-59-13,tron,0.332417
2025-08-04 20-59-13,dogecoin,0.204265
2025-08-04 20-59-33,bitcoin,114863
2025-08-04 20-59-33,ethereum,3648.02
2025-08-04 20-59-33,ripple,3.04
2025-08-04 20-59-33,tether,1.0
2025-08-04 20-59-33,binancecoin,762.58
2025-08-04 20-59-33,solana,165.64
2025-08-04 20-59-33,usd-coin,0.999796
2025-08-04 20-59-33,staked-ether,3643.24
2025-08-04 20-59-33,tron,0.332417
2025-08-04 20-59-33,dogecoin,0.204265
2025-08-04 20-59-53,bitcoin,114857
2025-08-04 20-59-53,ethereum,3648.08
2025-08-04 20-59-53,ripple,3.04
2025-08-04 20-59-53,tether,1.0
2025-08-04 20-59-53,binancecoin,762.57
2025-08-04 20-59-53,solana,165.67
2025-08-04 20-59-53,usd-coin,0.999795
2025-08-04 20-59-53,staked-ether,3642.93
2025-08-04 20-59-53,tron,0.332417
2025-08-04 20-59-53,dogecoin,0.204272
2025-08-04 21-00-14,bitcoin,114857
2025-08-04 21-00-14,ethereum,3648.08
2025-08-04 21-00-14,ripple,3.04
2025-08-04 21-00-14,tether,1.0
2025-08-04 21-00-14,binancecoin,762.57
2025-08-04 21-00-14,solana,165.67
2025-08-04 21-00-14,usd-coin,0.999795
2025-08-04 21-00-14,staked-ether,3642.93
2025-08-04 21-00-14,tron,0.332417
2025-08-04 21-00-14,dogecoin,0.204272
2025-08-04 21-00-34,bitcoin,114857
2025-08-04 21-00-34,ethereum,3648.08
2025-08-04 21-00-34,ripple,3.04
2025-08-04 21-00-34,tether,1.0
2025-08-04 21-00-34,binancecoin,762.57
2025-08-04 21-00-34,solana,165.67
2025-08-04 21-00-34,usd-coin,0.999795
2025-08-04 21-00-34,staked-ether,3642.93
2025-08-04 21-00-34,tron,0.332417
2025-08-04 21-00-34,dogecoin,0.204272
2025-08-04 21-00-54,bitcoin,114852
2025-08-04 21-00-54,ethereum,3648.28
2025-08-04 21-00-54,ripple,3.04
2025-08-04 21-00-54,tether,1.0
2025-08-04 21-00-54,binancecoin,762.56
2025-08-04 21-00-54,solana,165.7
2025-08-04 21-00-54,usd-coin,0.999787
2025-08-04 21-00-54,staked-ether,3642.77
2025-08-04 21-00-54,tron,0.332409
2025-08-04 21-00-54,dogecoin,0.204292
2025-08-04 21-01-15,bitcoin,114852
2025-08-04 21-01-15,ethereum,3648.28
2025-08-04 21-01-15,ripple,3.04
2025-08-04 21-01-15,tether,1.0
2025-08-04 21-01-15,binancecoin,762.56
2025-08-04 21-01-15,solana,165.7
2025-08-04 21-01-15,usd-coin,0.999787
2025-08-04 21-01-15,staked-ether,3642.77
2025-08-04 21-01-15,tron,0.332409
2025-08-04 21-01-15,dogecoin,0.204292
2025-08-04 21-01-35,bitcoin,114852
2025-08-04 21-01-35,ethereum,3648.28
2025-08-04 21-01-35,ripple,3.04
2025-08-04 21-01-35,tether,1.0
2025-08-04 21-01-35,binancecoin,762.56
2025-08-04 21-01-35,solana,165.7
2025-08-04 21-01-35,usd-coin,0.999787
2025-08-04 21-01-35,staked-ether,3642.77
2025-08-04 21-01-35,tron,0.332409
2025-08-04 21-01-35,dogecoin,0.204292
2025-08-04 21-01-55,bitcoin,114842
2025-08-04 21-01-55,ethereum,3648.43
2025-08-04 21-01-55,ripple,3.04
2025-08-04 21-01-55,tether,1.0
2025-08-04 21-01-55,binancecoin,762.46
2025-08-04 21-01-55,solana,165.69
2025-08-04 21-01-55,usd-coin,0.999779
2025-08-04 21-01-55,staked-ether,3643.08
2025-08-04 21-01-55,tron,0.332341
2025-08-04 21-01-55,dogecoin,0.204333
2025-08-04 21-02-16,bitcoin,114852
2025-08-04 21-02-16,ethereum,3648.28
2025-08-04 21-02-16,ripple,3.04
2025-08-04 21-02-16,tether,1.0
2025-08-04 21-02-16,binancecoin,762.56
2025-08-04 21-02-16,solana,165.7
2025-08-04 21-02-16,usd-coin,0.999787
2025-08-04 21-02-16,staked-ether,3642.77
2025-08-04 21-02-16,tron,0.332409
2025-08-04 21-02-16,dogecoin,0.204292
2025-08-04 21-02-36,bitcoin,114842
2025-08-04 21-02-36,ethereum,3648.43
2025-08-04 21-02-36,ripple,3.04
2025-08-04 21-02-36,tether,1.0
2025-08-04 21-02-36,binancecoin,762.46
2025-08-04 21-02-36,solana,165.69
2025-08-04 21-02-36,usd-coin,0.999779
2025-08-04 21-02-36,staked-ether,3643.08
2025-08-04 21-02-36,tron,0.332341
2025-08-04 21-02-36,dogecoin,0.204333
2025-08-04 21-02-56,bitcoin,114839
2025-08-04 21-02-56,ethereum,3648.48
2025-08-04 21-02-56,ripple,3.04
2025-08-04 21-02-56,tether,1.0
2025-08-04 21-02-56,binancecoin,762.38
2025-08-04 21-02-56,solana,165.61
2025-08-04 21-02-56,usd-coin,0.999793
2025-08-04 21-02-56,staked-ether,3643.33
2025-08-04 21-02-56,tron,0.332281
2025-08-04 21-02-56,dogecoin,0.204293
2025-08-04 21-03-17,bitcoin,114839
2025-08-04 21-03-17,ethereum,3648.48
2025-08-04 21-03-17,ripple,3.04
2025-08-04 21-03-17,tether,1.0
2025-08-04 21-03-17,binancecoin,762.38
2025-08-04 21-03-17,solana,165.61
2025-08-04 21-03-17,usd-coin,0.999793
2025-08-04 21-03-17,staked-ether,3643.33
2025-08-04 21-03-17,tron,0.332281
2025-08-04 21-03-17,dogecoin,0.204293
2025-08-04 21-03-37,bitcoin,114839
2025-08-04 21-03-37,ethereum,3648.48
2025-08-04 21-03-37,ripple,3.04
2025-08-04 21-03-37,tether,1.0
2025-08-04 21-03-37,binancecoin,762.38
2025-08-04 21-03-37,solana,165.61
2025-08-04 21-03-37,usd-coin,0.999793
2025-08-04 21-03-37,staked-ether,3643.33
2025-08-04 21-03-37,tron,0.332281
2025-08-04 21-03-37,dogecoin,0.204293
2025-08-04 21-03-57,bitcoin,114843
2025-08-04 21-03-57,ethereum,3648.63
2025-08-04 21-03-57,ripple,3.04
2025-08-04 21-03-57,tether,1.0
2025-08-04 21-03-57,binancecoin,762.35
2025-08-04 21-03-57,solana,165.61
2025-08-04 21-03-57,usd-coin,0.999796
2025-08-04 21-03-57,staked-ether,3643.28
2025-08-04 21-03-57,tron,0.332274
2025-08-04 21-03-57,dogecoin,0.204312
2025-08-04 21-05-29,bitcoin,114848
2025-08-04 21-05-29,ethereum,3649.72
2025-08-04 21-05-29,ripple,3.04
2025-08-04 21-05-29,tether,1.0
2025-08-04 21-05-29,binancecoin,762.32
2025-08-04 21-05-29,solana,165.63
2025-08-04 21-05-29,usd-coin,0.999797
2025-08-04 21-05-29,staked-ether,3644.17
2025-08-04 21-05-29,tron,0.332197
2025-08-04 21-05-29,dogecoin,0.204383
2025-08-04 21-05-43,bitcoin,114848
2025-08-04 21-05-43,ethereum,3649.72
2025-08-04 21-05-43,ripple,3.04
2025-08-04 21-05-43,tether,1.0
2025-08-04 21-05-43,binancecoin,762.32
2025-08-04 21-05-43,solana,165.63
2025-08-04 21-05-43,usd-coin,0.999797
2025-08-04 21-05-43,staked-ether,3644.17
2025-08-04 21-05-43,tron,0.332197
2025-08-04 21-05-43,dogecoin,0.204383
